ID, VALUE_EN, VALUE_RU, VALUE_UK
"100914","","","75"
"100915","","","77"
"100916","","","79"
"100917","","","81"
"100918","","","83"
"100919","","","85"
"100920","","","87/1"
"100921","","","89"
"100922","","","89А"
"100923","","","89Б"
"100924","","","91"
"100925","","","93"
"100926","","","95"
"100927","","","97/1"
"100928","","","99/2"
"100929","","","101"
"100930","","","101А"
"100931","","","101Б"
"100932","","","103/1"
"100933","","","107/2"
"100934","","","109"
"100935","","","109А"
"100936","","","111"
"100937","","","111А"
"100938","","","113"
"100939","","","115"
"100940","","","БМ1"
"100941","","","3"
"100942","","","Аляб'Єва вул."
"100943","","","15"
"100944","","","1"
"100945","","","Амосова Миколи вул."
"100946","","","2"
"100947","","","4"
"100948","","","5"
"100949","","","6"
"100950","","","7"
"100951","","","7А"
"100952","","","8"
"100953","","","9"
"100954","","","10"
"100955","","","11"
"100956","","","13"
"100957","","","2"
"100958","","","Амурська вул."
"100959","","","4"
"100960","","","6"
"100961","","","8"
"100962","","","2/34"
"100963","","","Амурська пл."
"100964","","","1/1"
"100965","","","Андріївська вул."
"100966","","","2"
"100967","","","2/12"
"100968","","","4"
"100969","","","6/14"
"100970","","","7"
"100971","","","8/12"
"100972","","","9"
"100973","","","9А"
"100974","","","12"
"100975","","","15"
"100976","","","17"
"100977","","","19"
"100978","","","1"
"100979","","","Андріївський узвіз"
"100980","","","2А"
"100981","","","2Б"
"100982","","","2В"
"100983","","","2Г"
"100984","","","2Д"
"100985","","","3"
"100986","","","3А"
"100987","","","4"
"100988","","","5/31"
"100989","","","6"
"100990","","","7А"
"100991","","","8"
"100992","","","9"
"100993","","","10"
"100994","","","10/2"
"100995","","","10А"
"100996","","","10Б"
"100997","","","11"
"100998","","","13"
"100999","","","13А"
"101000","","","13Б"
"101001","","","13В"
"101002","","","15"
"101003","","","16"
"101004","","","17"
"101005","","","18"
"101006","","","19"
"101007","","","20Б"
"101008","","","21"
"101009","","","22"
"101010","","","22А"
"101011","","","22Б"
"101012","","","23"
"101013","","","24"
"101014","","","28А"
"101015","","","28Б"
"101016","","","30"
"101017","","","30А"
"101018","","","32"
"101019","","","34"
"101020","","","34А"
"101021","","","34Б"
"101022","","","34В"
"101023","","","36"
"101024","","","38"
"101025","","","П1"
"101026","","","Андрія Первозванного пл."
"101027","","","4"
"101028","","","Андрющенка Григорія вул."
"101029","","","4А"
"101030","","","4Б"
"101031","","","4Д"
"101032","","","6"
"101033","","","6В"
"101034","","","7/19"
"101035","","","1/3"
"101036","","","Анищенка вул."
"101037","","","2"
"101038","","","3"
"101039","","","3Б"
"101040","","","3В"
"101041","","","4"
"101042","","","5"
"101043","","","6"
"101044","","","7"
"101045","","","8"
"101046","","","8/15"
"101047","","","9"
"101048","","","10"
"101049","","","12"
"101050","","","14"
"101051","","","17"
"101052","","","Анкари пл."
"101053","","","2/32"
"101054","","","Антонова Авіаконструктора вул."
"101055","","","3"
"101056","","","4"
"101057","","","4/1"
"101058","","","4А"
"101059","","","5"
"101060","","","5Б"
"101061","","","7"
"101062","","","8"
"101063","","","9"
"101064","","","10"
"101065","","","11"
"101066","","","12"
"101067","","","12А"
"101068","","","13"
"101069","","","14"
"101070","","","15"
"101071","","","15А"
"101072","","","16"
"101073","","","17"
"101074","","","18"
"101075","","","20"
"101076","","","35"
"101077","","","37"
"101078","","","39"
"101079","","","41"
"101080","","","43"
"101081","","","45"
"101082","","","47"
"101083","","","91/14"
"101084","","","2"
"101085","","","Антонова вул. (Петр.Борщагівка)"
"101086","","","5"
"101087","","","БМ1"
"101088","","","7"
"101089","","","Антонова-Овсієнка вул."
"101090","","","9"
"101091","","","21"
"101092","","","25"
"101093","","","27"
"101094","","","29"
"101095","","","31"
"101096","","","33"
"101097","","","41"
"101098","","","1"
"101099","","","Ареф'Єва Костянтина вул."
"101100","","","2"
"101101","","","4"
"101102","","","4А"
"101103","","","4Б"
"101104","","","6"
"101105","","","7"
"101106","","","7А"
"101107","","","8"
"101108","","","8А"
"101109","","","9"
"101110","","","10"
"101111","","","11"
"101112","","","11А"
"101113","","","12"
"101114","","","13"
"101115","","","14"
"101116","","","14А"
"101117","","","15"
"101118","","","16"
"101119","","","16А"
"101120","","","17"
"101121","","","18"
"101122","","","18А"
"101123","","","18Б"
"101124","","","19"
"101125","","","19А"
"101126","","","20"
"101127","","","20А"
"101128","","","20Б"
"101129","","","21"
"101130","","","22"
"101131","","","24"
"101132","","","25"
"101133","","","25А"
"101134","","","26"
"101135","","","27А"
"101136","","","28"
"101137","","","28А"
"101138","","","29"
"101139","","","29А"
"101140","","","30"
"101141","","","31"
