ID, VALUE_EN, VALUE_RU, VALUE_UK
"200401","","","4"
"200402","","","Інженерний пров."
"200403","","","4А"
"200404","","","4Б"
"200405","","","1"
"200406","","","Інститутська вул."
"200407","","","2"
"200408","","","3"
"200409","","","4"
"200410","","","4А"
"200411","","","5"
"200412","","","6"
"200413","","","7"
"200414","","","8"
"200415","","","9"
"200416","","","9/9"
"200417","","","9А"
"200418","","","11"
"200419","","","11А"
"200420","","","12"
"200421","","","12А"
"200422","","","13"
"200423","","","13/4"
"200424","","","13А"
"200425","","","14"
"200426","","","14А"
"200427","","","15/5"
"200428","","","15/6"
"200429","","","16"
"200430","","","17/5"
"200431","","","18"
"200432","","","18Г"
"200433","","","19"
"200434","","","19А"
"200435","","","19Б"
"200436","","","19В"
"200437","","","20/8"
"200438","","","21/8"
"200439","","","22"
"200440","","","24/7"
"200441","","","25"
"200442","","","25А"
"200443","","","26"
"200444","","","27/6"
"200445","","","28"
"200446","","","29"
"200447","","","29/3"
"200448","","","29А"
"200449","","","1/3"
"200450","","","Ірининська вул."
"200451","","","3"
"200452","","","4"
"200453","","","5-7"
"200454","","","5/24"
"200455","","","6"
"200456","","","8-10"
"200457","","","33/2"
"200458","","","2"
"200459","","","Ірпінська вул."
"200460","","","7Б"
"200461","","","11"
"200462","","","16"
"200463","","","17"
"200464","","","62"
"200465","","","62А"
"200466","","","62Б"
"200467","","","63/5"
"200468","","","63А"
"200469","","","64"
"200470","","","65"
"200471","","","65А"
"200472","","","66"
"200473","","","67"
"200474","","","68"
"200475","","","68А"
"200476","","","69"
"200477","","","69А"
"200478","","","70"
"200479","","","71"
"200480","","","72"
"200481","","","74"
"200482","","","74А"
"200483","","","76"
"200484","","","78"
"200485","","","78А"
"200486","","","3"
"200487","","","Іртиська вул."
"200488","","","5"
"200489","","","7"
"200490","","","10"
"200491","","","12"
"200492","","","1"
"200493","","","Ірчана Мирослава вул."
"200494","","","2"
"200495","","","3"
"200496","","","4"
"200497","","","5"
"200498","","","6"
"200499","","","7"
"200500","","","8"
"200501","","","9"
"200502","","","10"
"200503","","","11"
"200504","","","1"
"200505","","","Ісаакяна вул."
"200506","","","2"
"200507","","","3"
"200508","","","17"
"200509","","","18"
"200510","","","20"
"200511","","","1"
"200512","","","Іскрівська вул."
"200513","","","2"
"200514","","","3"
"200515","","","3А"
"200516","","","4"
"200517","","","5"
"200518","","","5А"
"200519","","","6"
"200520","","","7"
"200521","","","8"
"200522","","","9"
"200523","","","10"
"200524","","","11"
"200525","","","12"
"200526","","","14"
"200527","","","16"
"200528","","","18"
"200529","","","20"
"200530","","","22"
"200531","","","24"
"200532","","","1/5"
"200533","","","Аїстова вул."
"200534","","","3"
"200535","","","5"
"200536","","","19"
"200537","Aviatorov","Авиаторов","Авіаторів вул. (Петр.Борщагівка)"
"200538","1","1","1"
"200539","Avdeyenka Generala","Авдеенка Генерала","Авдєєнка Генерала вул."
"200540","2","2","2"
"200541","3","3","3"
"200542","4","4","4"
"200543","6","6","6"
"200544","8","8","8"
"200545","10","10","10"
"200546","12","12","12"
"200547","2","2","2"
"200548","Avtozavodska","Автозаводская","Автозаводська вул."
"200549","2A","2А","2А"
"200550","4","4","4"
"200551","5","5","5"
"200552","5","5А","5А"
"200553","7","7","7"
"200554","7A","7А","7А"
"200555","7B","7Б","7Б"
"200556","9A","9А","9А"
"200557","11","11","11"
"200558","13A","13А","13А"
"200559","15A","15А","15А"
"200560","17","17","17"
"200561","17A","17А","17А"
"200562","18","18","18"
"200563","18A","18А","18А"
"200564","19","19","19"
"200565","21","21","21"
"200566","21A","21А","21А"
"200567","24","24","24"
"200568","24/1","24/1","24/1"
"200569","24/2","24/2","24/2"
"200570","25","25","25"
"200571","25A","25А","25А"
"200572","25B","25Б","25Б"
"200573","25V","25В","25В"
"200574","27","27","27"
"200575","27A","27А","27А"
"200576","27B","27Б","27Б"
"200577","27V","27В","27В"
"200578","28","28","28"
"200579","29","29","29"
"200580","29A","29А","29А"
"200581","","39","39"
"200582","","41","41"
"200583","","","41/4"
"200584","","","43"
