ID, VALUE_EN, VALUE_RU, VALUE_UK
"100464","Illicha vul.","","Ілліча вул."
"100465","4/6","","4/6"
"100466","5","","5"
"100467","6/5","","6/5"
"100468","7","","7"
"100469","7A","","7А"
"100470","8","","8"
"100471","9","","9"
"100472","10/5","","10/5"
"100473","11","","11"
"100474","12","","12"
"100475","13","","13"
"100476","14A","","14А"
"100477","15","","15"
"100478","15A","","15А"
"100479","16","","16"
"100480","17","","17"
"100481","19/10","","19/10"
"100482","20","","20"
"100483","20A","","20А"
"100484","21","","21"
"100485","22/15","","22/15"
"100486","23","","23"
"100487","25/17","","25/17"
"100488","8","","8"
"100489","Ingul's'kii prov.","","Інгульський пров."
"100490","10","","10"
"100491","11A","","11А"
"100492","1","","1"
"100493","Industrial'nii prov.","","Індустріальний пров."
"100494","2","","2"
"100495","3","","3"
"100496","17","","17"
"100497","19","","19"
"100498","19A","","19А"
"100499","21","","21"
"100500","1","","1"
"100501","Inzhenerna vul.","","Інженерна вул."
"100502","2","","2"
"100503","4","","4"
"100504","Inzhenernii prov.","","Інженерний пров."
"100505","4A","","4А"
"100506","4B","","4Б"
"100507","1","","1"
"100508","Instituts'ka vul.","","Інститутська вул."
"100509","2","","2"
"100510","3","","3"
"100511","4","","4"
"100512","4A","","4А"
"100513","5","","5"
"100514","6","","6"
"100515","7","","7"
"100516","8","","8"
"100517","9","","9"
"100518","9/9","","9/9"
"100519","9A","","9А"
"100520","11","","11"
"100521","11A","","11А"
"100522","12","","12"
"100523","12A","","12А"
"100524","13","","13"
"100525","13/4","","13/4"
"100526","13A","","13А"
"100527","14","","14"
"100528","14A","","14А"
"100529","15/5","","15/5"
"100530","15/6","","15/6"
"100531","16","","16"
"100532","17/5","","17/5"
"100533","18","","18"
"100534","18G","","18Г"
"100535","19","","19"
"100536","19A","","19А"
"100537","19B","","19Б"
"100538","19V","","19В"
"100539","20/8","","20/8"
"100540","21/8","","21/8"
"100541","22","","22"
"100542","24/7","","24/7"
"100543","25","","25"
"100544","25A","","25А"
"100545","26","","26"
"100546","27/6","","27/6"
"100547","28","","28"
"100548","29","","29"
"100549","29/3","","29/3"
"100550","29A","","29А"
"100551","Internacional'na pl.","","Інтернаціональна пл."
"100552","1/3","","1/3"
"100553","Irinins'ka vul.","","Ірининська вул."
"100554","3","","3"
"100555","4","","4"
"100556","5-7","","5-7"
"100557","5/24","","5/24"
"100558","6","","6"
"100559","8-10","","8-10"
"100560","33/2","","33/2"
"100561","2","","2"
"100562","Irpins'ka vul.","","Ірпінська вул."
"100563","7B","","7Б"
"100564","11","","11"
"100565","16","","16"
"100566","17","","17"
"100567","62","","62"
"100568","62A","","62А"
"100569","62B","","62Б"
"100570","63/5","","63/5"
"100571","63A","","63А"
"100572","64","","64"
"100573","65","","65"
"100574","65A","","65А"
"100575","66","","66"
"100576","67","","67"
"100577","68","","68"
"100578","68A","","68А"
"100579","69","","69"
"100580","69A","","69А"
"100581","70","","70"
"100582","71","","71"
"100583","72","","72"
"100584","74","","74"
"100585","74A","","74А"
"100586","76","","76"
"100587","78","","78"
"100588","78A","","78А"
"100589","3","","3"
"100590","Irtis'ka vul.","","Іртиська вул."
"100591","5","","5"
"100592","7","","7"
"100593","10","","10"
"100594","12","","12"
"100595","1","","1"
"100596","Irchana Miroslava vul.","","Ірчана Мирослава вул."
"100597","2","","2"
"100598","3","","3"
"100599","4","","4"
"100600","5","","5"
"100601","6","","6"
"100602","7","","7"
"100603","8","","8"
"100604","9","","9"
"100605","10","","10"
"100606","11","","11"
"100607","1","","1"
"100608","Isaakyana vul.","","Ісаакяна вул."
"100609","2","","2"
"100610","3","","3"
"100611","17","","17"
"100612","18","","18"
"100613","20","","20"
"100614","1","","1"
"100615","Iskrivs'ka vul.","","Іскрівська вул."
"100616","2","","2"
"100617","3","","3"
"100618","3A","","3А"
"100619","4","","4"
"100620","5","","5"
"100621","5A","","5А"
"100622","6","","6"
"100623","7","","7"
"100624","8","","8"
"100625","9","","9"
"100626","10","","10"
"100627","11","","11"
"100628","12","","12"
"100629","14","","14"
"100630","16","","16"
"100631","18","","18"
"100632","20","","20"
"100633","22","","22"
"100634","24","","24"
"100635","1/5","","1/5"
"100636","Aistova vul.","","Аїстова вул."
"100637","3","","3"
