COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, ID, PARENT_ID
"1696","100","201696","1696","1693"
"1697","100","201697","1697","1693"
"1698","100","201698","1698","1693"
"1699","100","201699","1699","1693"
"1700","100","201700","1700","1693"
"1701","100","201701","1701","1693"
"1702","100","201702","1702","1693"
"1703","100","201703","1703","1693"
"1704","100","201704","1704","1693"
"1706","101","201706","1705",null
"1705","100","201705","1706","1705"
"1707","100","201707","1707","1705"
"1708","100","201708","1708","1705"
"1709","100","201709","1709","1705"
"1710","100","201710","1710","1705"
"1712","101","201712","1711",null
"1711","100","201711","1712","1711"
"1713","100","201713","1713","1711"
"1714","100","201714","1714","1711"
"1715","100","201715","1715","1711"
"1716","100","201716","1716","1711"
"1717","100","201717","1717","1711"
"1718","100","201718","1718","1711"
"1719","100","201719","1719","1711"
"1720","100","201720","1720","1711"
"1722","101","201722","1721",null
"1721","100","201721","1722","1721"
"1723","100","201723","1723","1721"
"1724","100","201724","1724","1721"
"1725","100","201725","1725","1721"
"1726","100","201726","1726","1721"
"1727","100","201727","1727","1721"
"1728","100","201728","1728","1721"
"1729","100","201729","1729","1721"
"1730","100","201730","1730","1721"
"1731","100","201731","1731","1721"
"1732","100","201732","1732","1721"
"1733","100","201733","1733","1721"
"1734","100","201734","1734","1721"
"1735","100","201735","1735","1721"
"1736","100","201736","1736","1721"
"1737","100","201737","1737","1721"
"1738","100","201738","1738","1721"
"1739","100","201739","1739","1721"
"1740","100","201740","1740","1721"
"1741","100","201741","1741","1721"
"1742","100","201742","1742","1721"
"1743","100","201743","1743","1721"
"1744","100","201744","1744","1721"
"1745","100","201745","1745","1721"
"1746","100","201746","1746","1721"
"1747","100","201747","1747","1721"
"1748","100","201748","1748","1721"
"1749","100","201749","1749","1721"
"1750","100","201750","1750","1721"
"1751","100","201751","1751","1721"
"1752","100","201752","1752","1721"
"1753","100","201753","1753","1721"
"1754","100","201754","1754","1721"
"1755","100","201755","1755","1721"
