ID, COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, PARENT_ID
"13652","13652","100","113756","13625"
"13653","13654","101","113758",null
"13654","13653","100","113757","13653"
"13655","13655","100","113759","13653"
"13656","13656","100","113760","13653"
"13657","13657","101","113761",null
"13658","13659","101","113763",null
"13659","13658","100","113762","13658"
"13660","13660","100","113764","13658"
"13661","13661","100","113765","13658"
"13662","13662","100","113766","13658"
"13663","13663","100","113767","13658"
"13664","13664","100","113768","13658"
"13665","13665","100","113769","13658"
"13666","13666","100","113770","13658"
"13667","13667","100","113771","13658"
"13668","13668","100","113772","13658"
"13669","13669","100","113773","13658"
"13670","13670","100","113774","13658"
"13671","13671","100","113775","13658"
"13672","13672","100","113776","13658"
"13673","13673","100","113777","13658"
"13674","13674","100","113778","13658"
"13675","13675","100","113779","13658"
"13676","13676","100","113780","13658"
"13677","13677","100","113781","13658"
"13678","13678","100","113782","13658"
"13679","13679","100","113783","13658"
"13680","13680","100","113784","13658"
"13681","13681","100","113785","13658"
"13682","13682","100","113786","13658"
"13683","13683","100","113787","13658"
"13684","13684","100","113788","13658"
"13685","13685","100","113789","13658"
"13686","13686","100","113790","13658"
"13687","13687","100","113791","13658"
"13688","13688","100","113792","13658"
"13689","13689","100","113793","13658"
"13690","13690","100","113794","13658"
"13691","13691","101","113795",null
"13692","13693","101","113797",null
"13693","13692","100","113796","13692"
"13694","13694","100","113798","13692"
"13695","13695","100","113799","13692"
"13696","13696","100","113800","13692"
"13697","13697","100","113801","13692"
"13698","13698","100","113802","13692"
"13699","13699","100","113803","13692"
"13700","13700","100","113804","13692"
"13701","13701","100","113805","13692"
"13702","13703","101","113807",null
"13703","13702","100","113806","13702"
"13704","13704","100","113808","13702"
"13705","13705","100","113809","13702"
"13706","13706","100","113810","13702"
"13707","13707","100","113811","13702"
"13708","13708","100","113812","13702"
"13709","13709","100","113813","13702"
"13710","13710","100","113814","13702"
"13711","13711","100","113815","13702"
"13712","13712","100","113816","13702"
"13713","13713","100","113817","13702"
"13714","13714","100","113818","13702"
"13715","13715","100","113819","13702"
"13716","13716","100","113820","13702"
"13717","13717","100","113821","13702"
"13718","13718","100","113822","13702"
"13719","13719","101","113823",null
"13720","13721","101","113825",null
"13721","13720","100","113824","13720"
"13722","13722","100","113826","13720"
"13723","13723","100","113827","13720"
"13724","13725","101","113829",null
"13725","13724","100","113828","13724"
"13726","13726","100","113830","13724"
"13727","13727","100","113831","13724"
"13728","13728","100","113832","13724"
"13729","13729","100","113833","13724"
"13730","13731","101","113835",null
"13731","13730","100","113834","13730"
"13732","13732","100","113836","13730"
"13733","13733","100","113837","13730"
"13734","13734","100","113838","13730"
"13735","13735","100","113839","13730"
"13736","13737","101","113841",null
"13737","13736","100","113840","13736"
"13738","13738","100","113842","13736"
"13739","13739","100","113843","13736"
"13740","13740","100","113844","13736"
"13741","13741","100","113845","13736"
"13742","13742","100","113846","13736"
"13743","13743","100","113847","13736"
"13744","13744","100","113848","13736"
"13745","13745","100","113849","13736"
"13746","13746","100","113850","13736"
"13747","13747","100","113851","13736"
"13748","13748","100","113852","13736"
"13749","13749","100","113853","13736"
"13750","13750","100","113854","13736"
"13751","13751","100","113855","13736"
"13752","13752","100","113856","13736"
"13753","13753","100","113857","13736"
"13754","13754","100","113858","13736"
"13755","13755","100","113859","13736"
"13756","13756","100","113860","13736"
"13757","13757","100","113861","13736"
"13758","13758","100","113862","13736"
"13759","13759","100","113863","13736"
"13760","13760","100","113864","13736"
"13761","13761","100","113865","13736"
"13762","13762","100","113866","13736"
"13763","13763","100","113867","13736"
"13764","13764","100","113868","13736"
"13765","13766","101","113870",null
"13766","13765","100","113869","13765"
"13767","13767","100","113871","13765"
"13768","13768","100","113872","13765"
"13769","13769","100","113873","13765"
"13770","13770","100","113874","13765"
"13771","13771","100","113875","13765"
"13772","13772","100","113876","13765"
"13773","13773","100","113877","13765"
"13774","13774","100","113878","13765"
"13775","13775","100","113879","13765"
"13776","13776","100","113880","13765"
"13777","13777","100","113881","13765"
"13778","13778","100","113882","13765"
"13779","13779","100","113883","13765"
"13780","13780","100","113884","13765"
"13781","13781","100","113885","13765"
"13782","13782","100","113886","13765"
"13783","13783","100","113887","13765"
"13784","13784","100","113888","13765"
"13785","13785","100","113889","13765"
"13786","13786","100","113890","13765"
"13787","13787","100","113891","13765"
"13788","13789","101","113893",null
"13789","13788","100","113892","13788"
"13790","13790","100","113894","13788"
"13791","13791","100","113895","13788"
"13792","13792","100","113896","13788"
"13793","13793","100","113897","13788"
"13794","13794","100","113898","13788"
"13795","13795","100","113899","13788"
"13796","13796","100","113900","13788"
"13797","13797","100","113901","13788"
"13798","13798","100","113902","13788"
"13799","13799","100","113903","13788"
"13800","13800","100","113904","13788"
"13801","13802","101","113906",null
"13802","13801","100","113905","13801"
"13803","13803","100","113907","13801"
"13804","13804","100","113908","13801"
"13805","13805","100","113909","13801"
"13806","13806","100","113910","13801"
"13807","13807","100","113911","13801"
"13808","13808","100","113912","13801"
"13809","13809","100","113913","13801"
"13810","13810","100","113914","13801"
"13811","13811","100","113915","13801"
"13812","13812","100","113916","13801"
"13813","13813","100","113917","13801"
"13814","13814","100","113918","13801"
"13815","13815","100","113919","13801"
"13816","13816","100","113920","13801"
"13817","13817","100","113921","13801"
"13818","13818","100","113922","13801"
"13819","13819","100","113923","13801"
"13820","13820","100","113924","13801"
"13821","13821","100","113925","13801"
"13822","13822","100","113926","13801"
